rt,response,locator,time_elapsed,trial,distractor,target,type,id,file
20889.72500001546,ring with rounded ornament,NA,208722,8,11,F,known,1,/Users/dan/Projects/callab/tunkel/Negation2.0/Experiment2/contrastA/production-results/338GLSUI43000P00OVVDPY4H9ZUSFJ-3G5W44VEU87BCQHHK8XV4H8A7RHGK5.json
19562.620000098832,ring with domed ornament,NA,229390,9,12,F,known,1,/Users/dan/Projects/callab/tunkel/Negation2.0/Experiment2/contrastA/production-results/338GLSUI43000P00OVVDPY4H9ZUSFJ-3G5W44VEU87BCQHHK8XV4H8A7RHGK5.json
9193.969999905676,spiky mine balls,NA,240190,10,F,1,unknown,1,/Users/dan/Projects/callab/tunkel/Negation2.0/Experiment2/contrastA/production-results/338GLSUI43000P00OVVDPY4H9ZUSFJ-3G5W44VEU87BCQHHK8XV4H8A7RHGK5.json
12530.664999969304,white iceberg looking thing,NA,254828,11,I,3,unknown,1,/Users/dan/Projects/callab/tunkel/Negation2.0/Experiment2/contrastA/production-results/338GLSUI43000P00OVVDPY4H9ZUSFJ-3G5W44VEU87BCQHHK8XV4H8A7RHGK5.json
10304.784999927506,traditional wooden chair,NA,266237,12,6,E,known,1,/Users/dan/Projects/callab/tunkel/Negation2.0/Experiment2/contrastA/production-results/338GLSUI43000P00OVVDPY4H9ZUSFJ-3G5W44VEU87BCQHHK8XV4H8A7RHGK5.json
16801.304999971762,block puzzle,NA,285643,13,B,15,unknown,1,/Users/dan/Projects/callab/tunkel/Negation2.0/Experiment2/contrastA/production-results/338GLSUI43000P00OVVDPY4H9ZUSFJ-3G5W44VEU87BCQHHK8XV4H8A7RHGK5.json
8513.489999924786,glass mug,NA,295013,14,8,M,known,1,/Users/dan/Projects/callab/tunkel/Negation2.0/Experiment2/contrastA/production-results/338GLSUI43000P00OVVDPY4H9ZUSFJ-3G5W44VEU87BCQHHK8XV4H8A7RHGK5.json
31797.36999992747,things that looks like a dumbbell with three points on each end,NA,328917,15,A,5,unknown,1,/Users/dan/Projects/callab/tunkel/Negation2.0/Experiment2/contrastA/production-results/338GLSUI43000P00OVVDPY4H9ZUSFJ-3G5W44VEU87BCQHHK8XV4H8A7RHGK5.json
68303.53500007186,abstract dumbbell,NA,398329,16,D,5,unknown,1,/Users/dan/Projects/callab/tunkel/Negation2.0/Experiment2/contrastA/production-results/338GLSUI43000P00OVVDPY4H9ZUSFJ-3G5W44VEU87BCQHHK8XV4H8A7RHGK5.json
15170.345000107773,bar with 3 points on each end,NA,416607,17,N,5,unknown,1,/Users/dan/Projects/callab/tunkel/Negation2.0/Experiment2/contrastA/production-results/338GLSUI43000P00OVVDPY4H9ZUSFJ-3G5W44VEU87BCQHHK8XV4H8A7RHGK5.json
6366.189999971539,sunflower,NA,424081,18,5,L,known,1,/Users/dan/Projects/callab/tunkel/Negation2.0/Experiment2/contrastA/production-results/338GLSUI43000P00OVVDPY4H9ZUSFJ-3G5W44VEU87BCQHHK8XV4H8A7RHGK5.json
6802,bird,NA,178245,1,practiceDistractor1,practiceTarget1,practice,37,/Users/dan/Projects/callab/tunkel/Negation2.0/Experiment2/contrastA/production-results/338GLSUI43000P00OVVDPY4H9ZUSFJ-3K3R2QNK8CSA0CZL0GVNINVL54I9U0.json
6221,plane,NA,187121,2,practiceDistractor2,practiceTarget2,practice,37,/Users/dan/Projects/callab/tunkel/Negation2.0/Experiment2/contrastA/production-results/338GLSUI43000P00OVVDPY4H9ZUSFJ-3K3R2QNK8CSA0CZL0GVNINVL54I9U0.json
2854,car,NA,193452,3,6,I,known,37,/Users/dan/Projects/callab/tunkel/Negation2.0/Experiment2/contrastA/production-results/338GLSUI43000P00OVVDPY4H9ZUSFJ-3K3R2QNK8CSA0CZL0GVNINVL54I9U0.json
23745,dark sculpture,NA,218567,4,L,11,unknown,37,/Users/dan/Projects/callab/tunkel/Negation2.0/Experiment2/contrastA/production-results/338GLSUI43000P00OVVDPY4H9ZUSFJ-3K3R2QNK8CSA0CZL0GVNINVL54I9U0.json
19640,thin art piece,NA,239576,5,N,7,unknown,37,/Users/dan/Projects/callab/tunkel/Negation2.0/Experiment2/contrastA/production-results/338GLSUI43000P00OVVDPY4H9ZUSFJ-3K3R2QNK8CSA0CZL0GVNINVL54I9U0.json
3822,cat,NA,246024,6,8,B,known,37,/Users/dan/Projects/callab/tunkel/Negation2.0/Experiment2/contrastA/production-results/338GLSUI43000P00OVVDPY4H9ZUSFJ-3K3R2QNK8CSA0CZL0GVNINVL54I9U0.json
6789,butterfly,NA,255975,7,10,K,known,37,/Users/dan/Projects/callab/tunkel/Negation2.0/Experiment2/contrastA/production-results/338GLSUI43000P00OVVDPY4H9ZUSFJ-3K3R2QNK8CSA0CZL0GVNINVL54I9U0.json
5895,butterfly,NA,263569,8,2,K,known,37,/Users/dan/Projects/callab/tunkel/Negation2.0/Experiment2/contrastA/production-results/338GLSUI43000P00OVVDPY4H9ZUSFJ-3K3R2QNK8CSA0CZL0GVNINVL54I9U0.json
4985,butterfly,NA,269426,9,4,K,known,37,/Users/dan/Projects/callab/tunkel/Negation2.0/Experiment2/contrastA/production-results/338GLSUI43000P00OVVDPY4H9ZUSFJ-3K3R2QNK8CSA0CZL0GVNINVL54I9U0.json
25268,tool with handle,NA,297832,10,K,9,unknown,37,/Users/dan/Projects/callab/tunkel/Negation2.0/Experiment2/contrastA/production-results/338GLSUI43000P00OVVDPY4H9ZUSFJ-3K3R2QNK8CSA0CZL0GVNINVL54I9U0.json
10201,blimp sculpture,NA,309405,11,D,16,unknown,37,/Users/dan/Projects/callab/tunkel/Negation2.0/Experiment2/contrastA/production-results/338GLSUI43000P00OVVDPY4H9ZUSFJ-3K3R2QNK8CSA0CZL0GVNINVL54I9U0.json
2518,fork,NA,314079,12,15,G,known,37,/Users/dan/Projects/callab/tunkel/Negation2.0/Experiment2/contrastA/production-results/338GLSUI43000P00OVVDPY4H9ZUSFJ-3K3R2QNK8CSA0CZL0GVNINVL54I9U0.json
7766,spinning top,NA,322752,13,M,12,unknown,37,/Users/dan/Projects/callab/tunkel/Negation2.0/Experiment2/contrastA/production-results/338GLSUI43000P00OVVDPY4H9ZUSFJ-3K3R2QNK8CSA0CZL0GVNINVL54I9U0.json
3105,ring,NA,326769,14,1,F,known,37,/Users/dan/Projects/callab/tunkel/Negation2.0/Experiment2/contrastA/production-results/338GLSUI43000P00OVVDPY4H9ZUSFJ-3K3R2QNK8CSA0CZL0GVNINVL54I9U0.json
6374,art piece,NA,335295,15,C,5,unknown,37,/Users/dan/Projects/callab/tunkel/Negation2.0/Experiment2/contrastA/production-results/338GLSUI43000P00OVVDPY4H9ZUSFJ-3K3R2QNK8CSA0CZL0GVNINVL54I9U0.json
5066,art piece,NA,343477,16,E,5,unknown,37,/Users/dan/Projects/callab/tunkel/Negation2.0/Experiment2/contrastA/production-results/338GLSUI43000P00OVVDPY4H9ZUSFJ-3K3R2QNK8CSA0CZL0GVNINVL54I9U0.json
3910,art piece,NA,350028,17,H,5,unknown,37,/Users/dan/Projects/callab/tunkel/Negation2.0/Experiment2/contrastA/production-results/338GLSUI43000P00OVVDPY4H9ZUSFJ-3K3R2QNK8CSA0CZL0GVNINVL54I9U0.json
2519,tree,NA,354685,18,5,J,known,37,/Users/dan/Projects/callab/tunkel/Negation2.0/Experiment2/contrastA/production-results/338GLSUI43000P00OVVDPY4H9ZUSFJ-3K3R2QNK8CSA0CZL0GVNINVL54I9U0.json
7039.290000015171,bird,NA,97307,1,practiceDistractor1,practiceTarget1,practice,10,/Users/dan/Projects/callab/tunkel/Negation2.0/Experiment2/contrastA/production-results/338GLSUI43000P00OVVDPY4H9ZUSFJ-3U84XHCDID2QP5NJP8Y4I7ZKLU9Z49.json
3019.014999998035,plane,NA,102181,2,practiceDistractor2,practiceTarget2,practice,10,/Users/dan/Projects/callab/tunkel/Negation2.0/Experiment2/contrastA/production-results/338GLSUI43000P00OVVDPY4H9ZUSFJ-3U84XHCDID2QP5NJP8Y4I7ZKLU9Z49.json
2941.2949999968987,cup,NA,107736,3,2,M,known,10,/Users/dan/Projects/callab/tunkel/Negation2.0/Experiment2/contrastA/production-results/338GLSUI43000P00OVVDPY4H9ZUSFJ-3U84XHCDID2QP5NJP8Y4I7ZKLU9Z49.json
4762.4549999891315,art,NA,114353,4,E,4,unknown,10,/Users/dan/Projects/callab/tunkel/Negation2.0/Experiment2/contrastA/production-results/338GLSUI43000P00OVVDPY4H9ZUSFJ-3U84XHCDID2QP5NJP8Y4I7ZKLU9Z49.json
3366.405000007944,toy,NA,118824,5,F,1,unknown,10,/Users/dan/Projects/callab/tunkel/Negation2.0/Experiment2/contrastA/production-results/338GLSUI43000P00OVVDPY4H9ZUSFJ-3U84XHCDID2QP5NJP8Y4I7ZKLU9Z49.json
2604.1649999970105,apple,NA,122531,6,16,A,known,10,/Users/dan/Projects/callab/tunkel/Negation2.0/Experiment2/contrastA/production-results/338GLSUI43000P00OVVDPY4H9ZUSFJ-3U84XHCDID2QP5NJP8Y4I7ZKLU9Z49.json
3485.2150000224356,dice,NA,127370,7,8,H,known,10,/Users/dan/Projects/callab/tunkel/Negation2.0/Experiment2/contrastA/production-results/338GLSUI43000P00OVVDPY4H9ZUSFJ-3U84XHCDID2QP5NJP8Y4I7ZKLU9Z49.json
2113.409999990836,dice,NA,130839,8,15,H,known,10,/Users/dan/Projects/callab/tunkel/Negation2.0/Experiment2/contrastA/production-results/338GLSUI43000P00OVVDPY4H9ZUSFJ-3U84XHCDID2QP5NJP8Y4I7ZKLU9Z49.json
2778.825000015786,dice,NA,136722,9,9,H,known,10,/Users/dan/Projects/callab/tunkel/Negation2.0/Experiment2/contrastA/production-results/338GLSUI43000P00OVVDPY4H9ZUSFJ-3U84XHCDID2QP5NJP8Y4I7ZKLU9Z49.json
5715.540000004694,toy,NA,143793,10,H,6,unknown,10,/Users/dan/Projects/callab/tunkel/Negation2.0/Experiment2/contrastA/production-results/338GLSUI43000P00OVVDPY4H9ZUSFJ-3U84XHCDID2QP5NJP8Y4I7ZKLU9Z49.json
2689.1450000111945,toy,NA,148336,11,C,5,unknown,10,/Users/dan/Projects/callab/tunkel/Negation2.0/Experiment2/contrastA/production-results/338GLSUI43000P00OVVDPY4H9ZUSFJ-3U84XHCDID2QP5NJP8Y4I7ZKLU9Z49.json
2302.400000015041,fork,NA,152243,12,11,G,known,10,/Users/dan/Projects/callab/tunkel/Negation2.0/Experiment2/contrastA/production-results/338GLSUI43000P00OVVDPY4H9ZUSFJ-3U84XHCDID2QP5NJP8Y4I7ZKLU9Z49.json
3940.644999995129,art,NA,158038,13,L,3,unknown,10,/Users/dan/Projects/callab/tunkel/Negation2.0/Experiment2/contrastA/production-results/338GLSUI43000P00OVVDPY4H9ZUSFJ-3U84XHCDID2QP5NJP8Y4I7ZKLU9Z49.json
2880.380000016885,pen,NA,161773,14,10,D,known,10,/Users/dan/Projects/callab/tunkel/Negation2.0/Experiment2/contrastA/production-results/338GLSUI43000P00OVVDPY4H9ZUSFJ-3U84XHCDID2QP5NJP8Y4I7ZKLU9Z49.json
5334.345000010217,art,NA,169711,15,K,7,unknown,10,/Users/dan/Projects/callab/tunkel/Negation2.0/Experiment2/contrastA/production-results/338GLSUI43000P00OVVDPY4H9ZUSFJ-3U84XHCDID2QP5NJP8Y4I7ZKLU9Z49.json
3399.839999998221,art,NA,174965,16,B,7,unknown,10,/Users/dan/Projects/callab/tunkel/Negation2.0/Experiment2/contrastA/production-results/338GLSUI43000P00OVVDPY4H9ZUSFJ-3U84XHCDID2QP5NJP8Y4I7ZKLU9Z49.json
3416.1800000001676,art,NA,180486,17,J,7,unknown,10,/Users/dan/Projects/callab/tunkel/Negation2.0/Experiment2/contrastA/production-results/338GLSUI43000P00OVVDPY4H9ZUSFJ-3U84XHCDID2QP5NJP8Y4I7ZKLU9Z49.json
3375.7599999953527,crab,NA,186968,18,7,N,known,10,/Users/dan/Projects/callab/tunkel/Negation2.0/Experiment2/contrastA/production-results/338GLSUI43000P00OVVDPY4H9ZUSFJ-3U84XHCDID2QP5NJP8Y4I7ZKLU9Z49.json
5473.884999984875,bird,NA,182583,1,practiceDistractor1,practiceTarget1,practice,13,/Users/dan/Projects/callab/tunkel/Negation2.0/Experiment2/contrastA/production-results/338GLSUI43000P00OVVDPY4H9ZUSFJ-3WR9XG3T64075VHD6D6LRN6LB1W74P.json
