mixed_repeated,order,id,trial,target_type,distractor_type,response,time_elapsed,target,distractor,file,occurrence,switch,negation
known repeated,mixed first,050c63b35acba6c98cffda73877a0e0a,3,known,unknown,o,120381,G,1,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/4/production-results/3UY4PIS8QRACUXEN90Z612QHNEQ1NG-3RRCEFRB7N1U77K3JUI1WPSH5ZVB4E.json,1,standard,FALSE
known repeated,mixed first,050c63b35acba6c98cffda73877a0e0a,4,unknown,known,turkey baster,136047,10,M,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/4/production-results/3UY4PIS8QRACUXEN90Z612QHNEQ1NG-3RRCEFRB7N1U77K3JUI1WPSH5ZVB4E.json,1,standard,FALSE
known repeated,mixed first,050c63b35acba6c98cffda73877a0e0a,5,unknown,known,basket with holes maybe a lacrosse basket,151235,18,J,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/4/production-results/3UY4PIS8QRACUXEN90Z612QHNEQ1NG-3RRCEFRB7N1U77K3JUI1WPSH5ZVB4E.json,1,standard,FALSE
known repeated,mixed first,050c63b35acba6c98cffda73877a0e0a,6,known,unknown,butterfly,165924,K,7,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/4/production-results/3UY4PIS8QRACUXEN90Z612QHNEQ1NG-3RRCEFRB7N1U77K3JUI1WPSH5ZVB4E.json,1,standard,FALSE
known repeated,mixed first,050c63b35acba6c98cffda73877a0e0a,7,known,unknown,o,175910,I,24,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/4/production-results/3UY4PIS8QRACUXEN90Z612QHNEQ1NG-3RRCEFRB7N1U77K3JUI1WPSH5ZVB4E.json,1,standard,FALSE
known repeated,mixed first,050c63b35acba6c98cffda73877a0e0a,8,known,unknown,o,185997,I,20,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/4/production-results/3UY4PIS8QRACUXEN90Z612QHNEQ1NG-3RRCEFRB7N1U77K3JUI1WPSH5ZVB4E.json,2,standard,FALSE
known repeated,mixed first,050c63b35acba6c98cffda73877a0e0a,9,known,unknown,o,194428,I,17,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/4/production-results/3UY4PIS8QRACUXEN90Z612QHNEQ1NG-3RRCEFRB7N1U77K3JUI1WPSH5ZVB4E.json,3,standard,FALSE
known repeated,mixed first,050c63b35acba6c98cffda73877a0e0a,10,unknown,known,dumbell or dog toy,209077,5,I,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/4/production-results/3UY4PIS8QRACUXEN90Z612QHNEQ1NG-3RRCEFRB7N1U77K3JUI1WPSH5ZVB4E.json,1,switch,FALSE
known repeated,mixed first,050c63b35acba6c98cffda73877a0e0a,11,unknown,unknown,building blocks arranged in a snake shape,226361,15,9,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/4/production-results/3UY4PIS8QRACUXEN90Z612QHNEQ1NG-3RRCEFRB7N1U77K3JUI1WPSH5ZVB4E.json,1,standard,FALSE
known repeated,mixed first,050c63b35acba6c98cffda73877a0e0a,12,unknown,unknown,smooth round object with one hole,252887,26,23,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/4/production-results/3UY4PIS8QRACUXEN90Z612QHNEQ1NG-3RRCEFRB7N1U77K3JUI1WPSH5ZVB4E.json,1,standard,FALSE
known repeated,mixed first,050c63b35acba6c98cffda73877a0e0a,13,unknown,unknown,flying saucer,262783,12,3,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/4/production-results/3UY4PIS8QRACUXEN90Z612QHNEQ1NG-3RRCEFRB7N1U77K3JUI1WPSH5ZVB4E.json,1,standard,FALSE
known repeated,mixed first,050c63b35acba6c98cffda73877a0e0a,14,unknown,unknown,looks a bit like a cactus or a tulip a stick with a cup and two arms,281262,25,8,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/4/production-results/3UY4PIS8QRACUXEN90Z612QHNEQ1NG-3RRCEFRB7N1U77K3JUI1WPSH5ZVB4E.json,1,standard,FALSE
known repeated,mixed first,050c63b35acba6c98cffda73877a0e0a,15,unknown,unknown,bumpy ball maybe a chew toy,313518,11,6,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/4/production-results/3UY4PIS8QRACUXEN90Z612QHNEQ1NG-3RRCEFRB7N1U77K3JUI1WPSH5ZVB4E.json,1,standard,FALSE
known repeated,mixed first,050c63b35acba6c98cffda73877a0e0a,16,unknown,unknown,bumpy ball NOT the donut,328703,11,4,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/4/production-results/3UY4PIS8QRACUXEN90Z612QHNEQ1NG-3RRCEFRB7N1U77K3JUI1WPSH5ZVB4E.json,2,standard,FALSE
known repeated,mixed first,050c63b35acba6c98cffda73877a0e0a,17,unknown,unknown,bumpy ball NOT the one that appears to be made of wire,354268,11,21,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/4/production-results/3UY4PIS8QRACUXEN90Z612QHNEQ1NG-3RRCEFRB7N1U77K3JUI1WPSH5ZVB4E.json,3,standard,FALSE
known repeated,mixed first,050c63b35acba6c98cffda73877a0e0a,18,unknown,unknown,looks like centipedes mating spiky tentacle ordeal,382256,19,11,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/4/production-results/3UY4PIS8QRACUXEN90Z612QHNEQ1NG-3RRCEFRB7N1U77K3JUI1WPSH5ZVB4E.json,1,switch,FALSE
known repeated,mixed first,058157cbd38bf62f234dc6201980cb71,3,known,unknown,pen,303299,D,7,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/4/production-results/3XT3KXP24ZNFNI4TIQYVRQLH9QC6I3-3Q5C1WP23NQBQS6BV28MV5LMJJZ15Q.json,1,standard,FALSE
known repeated,mixed first,058157cbd38bf62f234dc6201980cb71,4,unknown,known,thread,361217,19,G,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/4/production-results/3XT3KXP24ZNFNI4TIQYVRQLH9QC6I3-3Q5C1WP23NQBQS6BV28MV5LMJJZ15Q.json,1,standard,FALSE
known repeated,mixed first,058157cbd38bf62f234dc6201980cb71,5,unknown,known,art,385258,3,F,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/4/production-results/3XT3KXP24ZNFNI4TIQYVRQLH9QC6I3-3Q5C1WP23NQBQS6BV28MV5LMJJZ15Q.json,1,standard,FALSE
known repeated,mixed first,058157cbd38bf62f234dc6201980cb71,6,known,unknown,flower,399898,L,1,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/4/production-results/3XT3KXP24ZNFNI4TIQYVRQLH9QC6I3-3Q5C1WP23NQBQS6BV28MV5LMJJZ15Q.json,1,standard,FALSE
known repeated,mixed first,058157cbd38bf62f234dc6201980cb71,7,known,unknown,chair,411048,E,23,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/4/production-results/3XT3KXP24ZNFNI4TIQYVRQLH9QC6I3-3Q5C1WP23NQBQS6BV28MV5LMJJZ15Q.json,1,standard,FALSE
known repeated,mixed first,058157cbd38bf62f234dc6201980cb71,8,known,unknown,chair,424339,E,17,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/4/production-results/3XT3KXP24ZNFNI4TIQYVRQLH9QC6I3-3Q5C1WP23NQBQS6BV28MV5LMJJZ15Q.json,2,standard,FALSE
known repeated,mixed first,058157cbd38bf62f234dc6201980cb71,9,known,unknown,chair,437039,E,18,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/4/production-results/3XT3KXP24ZNFNI4TIQYVRQLH9QC6I3-3Q5C1WP23NQBQS6BV28MV5LMJJZ15Q.json,3,standard,FALSE
known repeated,mixed first,058157cbd38bf62f234dc6201980cb71,10,unknown,known,toy,459387,25,E,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/4/production-results/3XT3KXP24ZNFNI4TIQYVRQLH9QC6I3-3Q5C1WP23NQBQS6BV28MV5LMJJZ15Q.json,1,switch,FALSE
known repeated,mixed first,058157cbd38bf62f234dc6201980cb71,11,unknown,unknown,toy,486798,9,21,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/4/production-results/3XT3KXP24ZNFNI4TIQYVRQLH9QC6I3-3Q5C1WP23NQBQS6BV28MV5LMJJZ15Q.json,1,standard,FALSE
known repeated,mixed first,058157cbd38bf62f234dc6201980cb71,12,unknown,unknown,round,505949,22,10,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/4/production-results/3XT3KXP24ZNFNI4TIQYVRQLH9QC6I3-3Q5C1WP23NQBQS6BV28MV5LMJJZ15Q.json,1,standard,FALSE
known repeated,mixed first,058157cbd38bf62f234dc6201980cb71,13,unknown,unknown,thing,540643,11,27,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/4/production-results/3XT3KXP24ZNFNI4TIQYVRQLH9QC6I3-3Q5C1WP23NQBQS6BV28MV5LMJJZ15Q.json,1,standard,FALSE
known repeated,mixed first,058157cbd38bf62f234dc6201980cb71,14,unknown,unknown,toy,578219,15,20,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/4/production-results/3XT3KXP24ZNFNI4TIQYVRQLH9QC6I3-3Q5C1WP23NQBQS6BV28MV5LMJJZ15Q.json,1,standard,FALSE
known repeated,mixed first,058157cbd38bf62f234dc6201980cb71,15,unknown,unknown,cloth,633640,8,6,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/4/production-results/3XT3KXP24ZNFNI4TIQYVRQLH9QC6I3-3Q5C1WP23NQBQS6BV28MV5LMJJZ15Q.json,1,standard,FALSE
known repeated,mixed first,058157cbd38bf62f234dc6201980cb71,16,unknown,unknown,cloth,659933,8,12,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/4/production-results/3XT3KXP24ZNFNI4TIQYVRQLH9QC6I3-3Q5C1WP23NQBQS6BV28MV5LMJJZ15Q.json,2,standard,FALSE
known repeated,mixed first,058157cbd38bf62f234dc6201980cb71,17,unknown,unknown,cloth,671194,8,5,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/4/production-results/3XT3KXP24ZNFNI4TIQYVRQLH9QC6I3-3Q5C1WP23NQBQS6BV28MV5LMJJZ15Q.json,3,standard,FALSE
