rt,response,time_elapsed,trial,distractor,target,type,id
6568.989999999758,It is a flower,94171,5,F,L,known,37
10213.159999984782,It is six sided dice,104490,6,I,H,known,37
6204.069999977946,It is a chair,110802,7,I,E,known,37
6512.694999983069,It is a chair,117419,8,C,E,known,37
7280.315000039991,It is a chair,124803,9,K,E,known,37
5596.295000053942,It is a fork,130507,10,E,G,known,37
25326.70999999391,It is a roller with something through it,155940,11,7,9,unknown,37
18640.51500003552,It is a plastic object that can be attached to things,174684,12,10,6,unknown,37
28257.609999971464,It is a prickly object with three rounded limbs,203045,13,1,4,unknown,37
21209.614999999758,It is a plastic or rubber object with many sides,224358,14,12,11,unknown,37
32577.379999973346,It is a long object with three soft points on each end,257039,15,12,5,unknown,37
22820.299999963026,It is a long objects with three rounded ends,279967,16,8,5,unknown,37
17984.95000001276,It is a rubber dog toy,298055,17,2,5,unknown,37
12526.430000027176,It is a folded over chefs hat,310689,18,5,3,unknown,37
24654,pigeon,75154,1,practiceDistractor1,practiceTarget1,practice,21
8984,plane,84245,2,practiceDistractor2,practiceTarget2,practice,21
5510,tree,89862,3,E,J,known,21
10057,minivan,100026,4,F,I,known,21
22596,sunflower,122729,5,G,L,known,21
10867,sitting cat,133701,6,A,B,known,21
29535,die with 6 dots,163345,7,A,H,known,21
9245,die with 6 dots,172696,8,C,H,known,21
13276,die with 6 dots,186076,9,D,H,known,21
11618,butterfly,197799,10,H,K,known,21
30225,toy with rod going through the top,228133,11,11,9,unknown,21
25612,6 pronged weight,253851,12,8,5,unknown,21
18048,squeeze bulb,272006,13,7,10,unknown,21
35746,plastic toy made of wider cyclinder and smaller cylinder on top,307859,14,3,2,unknown,21
28786,object that looks like an award trophy with egg shaped hole in middle,336750,15,3,1,unknown,21
6829,object that looks like an award trophy with egg shaped hole in middle,343686,16,12,1,unknown,21
12179,object that looks like an award trophy with egg shaped hole in middle,355970,17,6,1,unknown,21
36470,3 pronged toy that looks like a playing jack with teeth,392545,18,1,4,unknown,21
7138.730000006035,bird,67219,1,practiceDistractor1,practiceTarget1,practice,31
2475.734999869019,plane,69813,2,practiceDistractor2,practiceTarget2,practice,31
2286.1200000625104,pen,72214,3,C,D,known,31
2166.979999979958,apple,74512,4,H,A,known,31
2242.860000114888,cat,76897,5,F,B,known,31
3162.169999908656,butterfly,80175,6,I,K,known,31
2751.7349999397993,dandelion,83045,7,I,L,known,31
2792.780000017956,dandelion,85956,8,E,L,known,31
2731.5050000324845,sunflower,88802,9,G,L,known,31
1897.1900001633912,tree,90818,10,L,J,known,31
4699.280000058934,shower head,95648,11,8,12,unknown,31
11192.509999964386,snowboard,106996,12,2,7,unknown,31
11039.090000092983,knob,118151,13,10,9,unknown,31
3348.439999856055,art,121613,14,11,1,unknown,31
3325.2000000793487,glacier,125057,15,11,3,unknown,31
2765.275000128895,glacier,127949,16,4,3,unknown,31
5388.595000142232,glacier,133453,17,6,3,unknown,31
3854.3249999638647,weight,137424,18,3,5,unknown,31
6741.330000004382,bird,65927,1,practiceDistractor1,practiceTarget1,practice,11
3522.2199999989243,plane,69551,2,practiceDistractor2,practiceTarget2,practice,11
8199.870000004012,moth,77854,3,F,K,known,11
3113.375000000815,chair,81069,4,D,E,known,11
4269.424999998591,fork,85441,5,C,G,known,11
3076.280000001134,tree,88620,6,L,J,known,11
1886.7649999956484,car,90609,7,L,I,known,11
1585.4600000020582,car,92296,8,A,I,known,11
1314.3750000017462,car,93712,9,B,I,known,11
