rt,response,time_elapsed,trial,distractor,target,type,id
6014.35500000004,select the red apple,304533,15,G,A,known,30
6208.149999999907,select the red apple,310846,16,K,A,known,30
6533.435000000056,select the red apple,317485,17,F,A,known,30
10384.885000000126,select the compact silver car,327973,18,A,I,known,30
11888.999999995576,bird,402732,1,practiceDistractor1,practiceTarget1,practice,40
4966.999999989639,guitar,407813,2,practiceDistractor2,practiceTarget2,practice,40
32985.00000000058,shaped ballon,440912,3,2,11,unknown,40
48864.99999999069,dont know,489893,4,10,9,unknown,40
12930.999999996857,cactus,502935,5,7,4,unknown,40
32012.999999991735,wooden shaped st,535060,6,6,5,unknown,40
19773.999999990338,award,554945,7,6,1,unknown,40
11332.99999999872,cap,566388,8,3,1,unknown,40
5899.000000004889,award,572399,9,12,1,unknown,40
39069.00000000314,dont know,611580,10,1,8,unknown,40
6366.99999999837,chair,618061,11,C,E,known,40
4592.999999993481,cat,622765,12,B,L,known,40
4059.000000008382,car,626936,13,I,D,known,40
4277.000000001863,ring,631325,14,F,A,known,40
